BANK,Column,COMPANY,Column,GROUP,Column
,"30-Jun-19
KShs 000
Un-audited","30-Jun-18 31-Dec-18 31-Mar-19
KShs 000 KShs 000 KShs 000
Un-audited Audited Un-audited
- - -
- - -
- - -
- - -
- - -
- - -
- - -
38,907 34,213 33,626
884,216 898,979 893,966
- - -
61,611 68,639 68,639
- - -
252,250 6,485,053 6,390,520
125 125 125
67,648,950 68,035,825 68,036,500
- - -
- - -
559,774 648,966 654,948
- - -
- - -
5,554 102,168 126,332
- - -
994 - 7,224","30-Jun-19
KShs 000
Un-audited","30-Jun-18 31-Dec-18 31-Mar-19
KShs 000 KShs 000 KShs 000
Un-audited Audited Un-audited
8,844,806 11,062,802 10,662,173
28,500,882 39,038,130 45,669,341
- - -
- - -
25,177,938 30,515,506 43,411,594
5,452,142 6,658,706 6,130,196
72,018,993 79,362,566 79,669,319
9,895,938 3,532,802 4,096,159
15,885,023 7,985,156 6,078,270
33,752,125 24,031,511 13,290,142
150,945 - -
421,508,507 455,880,284 464,262,958
- - -
- - -
- - -
- - -
- - -
10,328,994 11,007,625 9,888,315
131,514 129,018 129,018
3,085,579 3,003,113 3,847,630
9,977,424 9,585,223 9,494,550
1,018,000 658,000 658,000
21,952,826 31,862,149 28,375,763","30-Jun-19
KShs 000
Un-audited"
,"5,876,137",,-,,"10,388,163"
,"36,967,985",,-,,"55,657,692"
,-,,-,,-
,-,,-,,-
,"54,945,590",,-,,"56,554,157"
,-,,-,,"7,114,504"
,"62,991,869",,-,,"69,252,495"
,"2,057,650",,"27,896",,"2,085,546"
,"2,662,400",,"901,605",,"2,662,400"
,"7,696,175",,-,,"14,302,598"
,"23,081",,"68,638",,"130,388"
,"435,726,167",,-,,"478,730,510"
,"4,049,464",,"5,187,202",,-
,-,,125,,-
,-,,"68,036,500",,-
,-,,-,,-
,-,,-,,-
,"7,604,029",,"655,951",,"13,551,623"
,"125,765",,-,,"127,771"
,"3,769,978",,-,,"2,523,758"
,"9,221,805",,"140,453",,"9,929,624"
,"658,000",,-,,"658,000"
,"18,682,327",,"8,188",,"22,850,037"
,"653,058,422","69,452,381 76,273,968 76,211,880","75,026,558","667,681,636 714,312,591 725,663,428","746,519,266"
,,"- - -
- - -
- - -
- - -
- - -
- - -
990,305 112,055 111,102
- - -
- - -
- - -
- - -
15,499 55,013 70,757",,"- - -
524,938,523 537,459,617 552,204,662
70,194 7,000,000 5,000,000
8,499,695 13,104,797 9,016,377
- - -
20,698,615 22,447,432 21,465,662
- - -
2,593,263 308,534 2,723,231
- - -
42,640 - -
- - -
11,854,815 20,331,073 20,290,172",
,-,,-,,-
,"502,762,380",,-,,"563,236,258"
,"5,587,598",,-,,"5,587,598"
,"3,133,868",,-,,"13,251,212"
,-,,-,,-
,"19,037,455",,-,,"22,418,516"
,-,,"109,474",,-
,-,,-,,"1,654"
,"6,387,716",,"6,321,696",,"6,321,696"
,-,,-,,-
,-,,-,,-
,"15,480,000",,"79,776",,"18,178,520"
,"552,389,017","1,005,804 167,068 181,859","6,510,946","568,697,745 600,651,453 606,200,104","628,995,454"
,,"3,066,056 3,066,057 3,066,057
21,646,777 21,646,777 21,646,777
(37,836) (42,530) (43,117)
40,705,523 43,771,453 43,695,161
- - -
- - -
3,066,057 7,665,143 7,665,143
- - -",,"3,066,057 3,066,057 3,066,057
21,646,777 21,646,777 21,646,777
124 1,851,626 2,146,879
69,905,510 85,182,131 90,955,873
915,066 1,222,095 1,222,095
384,300 (6,972,691) (7,239,500)
3,066,057 7,665,143 7,665,143
- - -",
,"53,986,100",,"3,066,057",,"3,066,057"
,-,,"21,646,777",,"21,646,777"
,"1,186,440",,"(48,847)",,"1,142,982"
,"42,213,599",,"40,785,568",,"94,839,017"
,-,,-,,"1,222,095"
,"44,100",,-,,"(7,459,173)"
,"3,239,166",,"3,066,057",,"3,066,057"
,-,,-,,-
,"100,669,405","68,446,577 76,106,900 76,030,021","68,515,612","98,983,891 113,661,138 119,463,324","117,523,812"
,-,- - -,-,- - -,-
,"653,058,422","69,452,381 76,273,968 76,211,880","75,026,558","667,681,636 714,312,591 725,663,428","746,519,266"
,,"302,821 294,800 -
- - -
9,811 22,281 -
- - -",,"25,645,200 52,711,906 13,387,549
6,333,016 12,983,467 3,230,329
241,402 585,325 159,386
- - -",
,"24,084,553",,-,,"26,792,447"
,"5,662,047",,-,,"6,555,058"
,"193,887",,-,,"255,278"
,-,,-,,-
,"29,940,487","312,632 317,081 -",-,"32,219,618 66,280,698 16,777,264","33,602,783"
,,"- - -
283,059 271,954 -
- - -",,"7,316,332 15,464,365 3,575,443
757,822 1,985,797 493,900
- - -",
,"6,213,287",,-,,"7,240,246"
,"708,047",,-,,"960,968"
,-,,-,,-
