Board,Audit,Risk,"Finance &
strategy","HR &
Nominations","IT &
Innovation",Supply Chain
8,6,4,5,9,4,
4,,,,,,
7,1,4,,7,,
8,,,1,,,
6,,,3,,1,
7,,,,9,4,
7,6,4,,,4,
6,6,4,4,7,,
2,,,,,,
4,2,1,1,,,
7,,2,1,7,3,
8,,,4,,,
