KCB Group,Column,Column,KCB Bank Kenya,Column,Column
2021,2022,Y-O-Y,2021,2022,Y-O-Y
,,Change,,,Change
53.2,65.1,22%,37.0,42.3,14%
45.0,189.6,321%,8.4,25.1,200%
276.3,295.4,7%,187.6,205.9,10%
675.5,863.3,28%,529.3,613.9,16%
32.4,42.3,31%,20.0,22.4,12%
57.2,98.2,72%,44.1,61.7,40%
"1,139.7","1,554.0",36%,826.4,971.4,18%
837.1,"1,135.4",36%,624.5,694.5,11%
44.3,55.6,25%,9.8,25.6,162%
37.6,63.6,69%,33.6,54.6,62%
47.1,93.2,98%,34.7,73.3,111%
966.2,"1,347.8",39%,702.6,848.0,21%
171.7,200.2,17%,123.8,123.4,(0%)
"1,137.9","1,554.0",37%,826.4,971.4,18%
