RETAIL -TERM LOANS,Column,Column,Column,Column
,"340,315","14,609","29,925","384,849"
,,,,-
,"5,820","(5,120)",(700),-
,"(13,771)","14,131",(360),-
,"(10,591)","(3,524)","14,115",-
,"(11,492)","(6,905)","(6,271)","(24,668)"
,"90,952","6,620","9,618","107,190"
,"(86,033)","(4,885)","(7,170)","(98,088)"
,"315,200","14,926","39,157","369,283"
