Name,Number of Shares,Percentage Shareholding
,"635,001,947",19.76
,"272,552,009",8.48
,"129,297,900",4.02
,"63,984,400",1.99
,"51,289,541",1.60
,"29,514,900",0.92
,"29,013,023",0.90
,"28,193,900",0.88
,"27,574,726",0.86
,"26,432,015",0.82
,"1,920,608,454",59.77
,"3,213,462,815",100.00
