KCB Group,Column,Column,KCB Bank Kenya,Column,Column
Q3 24,Q3 25,Y-O-Y,Q3 24,Q3 25,Y-O-Y
,,Change,,,Change
84.1,95.3,13%,60.1,75.6,26%
333.7,192.5,(42%),163.9,32.5,(80%)
365.0,452.8,24%,272.1,334.1,23%
"1,053.2","1,139.9",8%,727.0,850.3,17%
41.1,39.2,(5%),23.1,23.0,(0%)
115.8,124.7,8%,78.9,88.7,12%
"1,993.1","2,044.5",3%,"1,325.0","1,404.2",6%
"1,538.4","1,525.8",(1%),"1,033.7","1,063.0",3%
74.7,50.6,(32%),49.7,14.5,(71%)
58.3,82.3,41%,46.6,64.0,37%
65.0,68.3,5%,30.6,52.4,71%
"1,736.4","1,727.1",(1%),"1,160.6","1,193.9",3%
249.0,308.5,24%,164.4,210.3,28%
7.7,8.9,16%,-,-,0%
"1,993.1","2,044.5",3%,"1,325.0","1,404.2",6%
