H1 2021,FY 2021,Q1 2022,H1 2022
,"492
28.4
1,178
16,441
8,685
8,538",,
354,,496,
26.8,,29.6,
"1,103",,"1,176",
"15,652",,"17,308",
"9,272",,"8,859",
"7,487",,"8,768",
,"10.61
3.00
3,213
193,274
45.45
146.1",,
9.52,,12.18,
-,,-,
"3,213",,"3,213",
"193,521",,"193,279",
42.65,,44.05,
137.1,,141.6,
107.81,,114.95,
