KCB Group,Column,Column,KCB Bank Kenya,Column,Column
2024,2025,Y-O-Y,2024,2025,Y-O-Y
,,Change,,,Change
213.4,209.7,(2%),145.6,150.4,3%
(76.1),(61.7),(19%),(56.8),(44.7),(21%)
137.3,148.0,8%,88.9,105.8,19%
17.5,11.4,(35%),10.3,5.9,(43%)
42.3,42.6,1%,22.9,23.8,4%
7.7,11.8,54%,4.6,6.4,41%
67.5,65.8,(3%),37.8,36.2,(4%)
204.9,213.8,4%,126.7,142.0,12%
(92.9),(90.5),(3%),(46.8),(49.4),6%
(30.0),(32.4),8%,(21.5),(28.8),34%
82.0,90.9,11%,58.4,63.7,9%
(20.2),(22.6),12%,(13.3),(15.2),14%
61.8,68.4,11%,45.0,48.5,8%
