Board Member,Profile/ Experience,Board Member,Profile/ Experience
"NAME: ANDREW
WAMBARI KAIRU
(61 years)
DESIGNATION: GROUP
CHAIRMAN
DATE OF APPOINTMENT
TO DESIGNATION:
Appointed Group
Chairman in October
2018
DATE OF APPOINTMENT
TO BOARD:
June 2018","EDUCATION AND PROFESSIONAL BACKGROUND:
Andrew holds a Bachelor of Commerce degree from University
of Nairobi. He has also attended executive programs in Executive
Development at the Wharton School, University of Pennsylvania
and in Corporate Governance at Harvard Business School,
Harvard University. His banking career spans over 30 years and
includes stints at Commercial Bank of Africa, Standard Chartered
Bank and Citibank N.A culminating in his posting to London to
head Citibank’s Emerging Markets Financial institution Business.
In 2004, he joined Ghana International Bank PLC London as the
Chief Operating Officer and Executive Director, a position he held
for over 10 years. Prior to his appointment as Group Chairman,
he served as a Non-Executive Director of KCB Bank Kenya from
November 2016 and was Chair of the Risk Management and Audit
Committees and a member of the HR Committee.
OTHER DIRECTORSHIPS: Andrew is a non-executive director of
Dalberg Research Limited, a member of the audit committee of
the Commonwealth Secretariat, London and is also a Trustee of
the Citizens Advice Bureau of Caterham and Warlingham, United
Kingdom.","NAME: : GEORGINA
MALOMBE
(44 years)
DESIGNATION:
DIRECTOR
DATE OF
APPOINTMENT TO
BOARD:
June 2014","EDUCATION AND PROFESSIONAL BACKGROUND:
Georgina Malombe is an audit professional. She holds a Bachelors degree
in Agribusiness Management from Egerton University and a Master of
Business Administration, Finance Option from the University of Nairobi.
She is a Certified Public Accountant (CPA (K)) and professional trainer.
She also holds a Certificate in Arbitration. Her key technical competencies
include Audit Quality Assurance, Auditing, Accounting, Finance and Financial
Reporting. Previously, she worked for The Registration of Accountants
Board as the Executive Officer, The Institute of Certified Public Accountants
of Kenya (ICPAK) as Manager, Public Policy and Governance as well as
the Head of Compliance and Regulatory Affairs. Malombe is currently the
Managing Partner of audit firm, Gemal and Company.
OTHER DIRECTORSHIPS: Georgina currently serves in the Board of
the Association of Women Accountants of Kenya (AWAK) as the Vice
Chairperson. She is also a member of Professional Trainers Association of
Kenya (PTAK).
She is also a member of Professional Trainers Association of Kenya (PTAK)."
,,"NAME: JOHN
NYERERE
(57 years)
DESIGNATION:
DIRECTOR
DATE OF
APPOINTMENT TO
BOARD:
June 2014","EDUCATION AND PROFESSIONAL BACKGROUND:
John Nyerere is a HHH (Fulbright) fellow and holds an MBA, Bachelor of
Arts (Hons.) Economics, MBA General Management and Bachelor of Arts
Economics and Sociology. He lectures on business management at the
United States International University. He has experience in corporate
planning, operations management and transformation leadership and his
key technical competencies include strategy development and economics.
He also serves as a member of KCB Bank Tanzania Limited and KCB
Foundation Boards and is the Chairman of KCB Capital Limited."
"NAME: HENRY ROTICH
(50 years)
DESIGNATION:
DIRECTOR
DATE OF APPOINTMENT
TO BOARD: The office of
the Cabinet Secretary of
the National Treasury is
an institutional director
of KCB Group Plc.","EDUCATION AND PROFESSIONAL BACKGROUND:
Henry Rotich is Kenya’s Cabinet Secretary for the National
Treasury. He holds a Master’s Degree in Public Administration
(MPA) from the Harvard Kennedy School, Harvard University.
In addition, he holds a Master’s degree in Economics and a
Bachelor’s degree in Economics (First Class Honours), both from
the University of Nairobi.
ALTERNATE APPOINTED:
Julius Mutua (48 years) serves as alternate on the Board
(Appointed September 2014).
He is the Chairman of KCB Bank Burundi Limited and also a
member of the Boards of KCB Bank Kenya Limited and KCB
Capital Limited and is a trustee of KCB Foundation.",,
,,"NAME: LAWRENCE
NJIRU
(47 years)
DESIGNATION:
DIRECTOR
DATE OF
APPOINTMENT TO
BOARD:
August 2018","EDUCATION AND PROFESSIONAL BACKGROUND:
Lawrence holds a Bachelor of Commerce (Accounting) degree from
Kenyatta University and is a member of the Institute of Certified Public
Accountants of Kenya (CPA-K). He has over 20 year’s senior management
experience in business strategy, finance, commercial, audit and accounting.
He worked at Standard Media Group Kenya Limited as Assistant Group
Commercial Director and also served as Group Financial Controller in the
same Group. Prior to this, he worked as a senior auditor at KPMG East
Africa.
OTHER DIRECTORSHIPS: Lawrence is a non-executive director of Kenya
Seed Company Limited where he chairs the Audit committee. He also serves
as the Chairman of Simlaw Seeds Company Limited."
"NAME: NGENY BIWOTT
(67 years)
DESIGNATION:
DIRECTOR
DATE OF APPOINTMENT
TO BOARD:
June 2011","EDUCATION AND PROFESSIONAL BACKGROUND:
Ngeny Biwott has over 39 years’ experience in the aviation
industry and holds an MSc Degree in Civil Emergency, Risk and
Crisis Management from University of Hertfordshire. In addition,
he obtained specialised certification in risk and strategy from
Cranfield University, the University of Southern California, and
the Langley NASA Research Centre College.
OTHER DIRECTORSHIPS: Ngeny is a member of the board of the
Unclaimed Financial Assets Authority.",,
,,"NAME: JOSHUA
OIGARA
(44 years)
DESIGNATION:
CHIEF EXECUTIVE
OFFICER &
MANAGING
DIRECTOR
DATE OF
APPOINTMENT TO
BOARD:
January 2013","EDUCATION AND PROFESSIONAL BACKGROUND:
Joshua Oigara holds a Masters degree in Business Administration with
a distinction in International Business Management from Edith Cowan
University, Australia, a Bachelor of Commerce Degree, Accounting
Option, from the University of Nairobi and is an Advanced Management
Program Graduate from INSEAD, Fontainebleau, France. He is a graduate
of the Program for Management Development (JuMP), Fuqua School of
Business, Duke University, North Carolina, USA as well as a Certified Public
Accountant of Kenya, CPA (K), having studied at the School of Accountancy,
Strathmore University, Kenya.
OTHER BOARD/SOCIETY/MEMBERSHIP:
Joshua serves in the board of KCB Bank Kenya Limited and is a trustee of
the KCB Foundation and also as the Chairman of the Energy Regulatory
Commission as well as the Chairman of the Kenya Bankers Association
Governing Council. He is a member of the Vision 2030 Board and also serves
as a board member of YALI (Young Africa Leaders Initiative)."
"NAME: ADIL KHAWAJA
(48 years)
DESIGNATION:
DIRECTOR
DATE OF APPOINTMENT
TO BOARD:
June 2012","EDUCATION AND PROFESSIONAL BACKGROUND:
Adil Khawaja holds an LLB (Hons.) degree from the University
of Sheffield England, a diploma in Law from the Kenya School of
Law and is a Certified Public Secretary of Kenya (CPSK). He is a
member of the London Court of International Arbitration (LCIA)
and is currently the Managing Partner of law firm, Hamilton
Harrison and Mathews, Advocates.
SOCIETY/MEMBERSHIP: Adil serves as trustee of Kenya Wildlife
Services (KWS).
He also serves as Chairman of the KCB Bank Kenya Limited
Board and is also the Chairman of KCB Insurance Agency
Limited.",,
,,"NAME:
LAWRENCE
KIMATHI
(49 years)
DESIGNATION:
GROUP CHIEF
FINANCE
OFFICER
DATE OF
APPOINTMENT TO
BOARD:
May 2015","EDUCATION AND PROFESSIONAL BACKGROUND:
Lawrence joined KCB Group in May 2015 as the Chief Finance Officer. He has
over 20 years senior leadership experience having worked in a number of
multinational organization which include BAT, AIG and East Africa Breweries
both in Kenya and UK.
Lawrence holds a Bachelor of Science degree from the United States
International University - Africa (USIU) majoring in accounting. He is a
qualified Certified Public Accountant of Kenya (CPAK), a member of Institute
of Certified Public Accountants of Kenya (ICPAK) and Institute of Directors.
Lawrence is currently writing his MBA thesis at Warwick Business School
(UK). Lawrence also serves as a trustee of the KCB Staff Pension Fund
(Defined Benefit Scheme). He is a member of the KCB Bank South Sudan
Limited Board and also serves as a trustee of the KCB Staff Pension Fund
(Defined Benefit Scheme).
OTHER DIRECTORSHIPS: Lawrence is a non-executive director in Pozin
Investments Limited and Westacres Limited"
"NAME: TOM IPOMAI
(46 years)
DESIGNATION:
DIRECTOR
DATE OF APPOINTMENT
TO BOARD:
July 2013","EDUCATION AND PROFESSIONAL BACKGROUND:
Tom Ipomai is a corporate finance specialist. He holds a degree
in Computer Science from the University of Nairobi (1st Class
Honours) and a Master of Philosophy (MPhil) in Management
Studies from the University of Cambridge (Jesus College). He is a
Certified Chartered Accountant (ACCA). Previously, Tom worked
for the Central Bank of Kenya, Barclays Bank in the UK, Kenya
and Zambia and with Deloitte in its Corporate Finance Advisory
division. Tom runs a boutique consulting firm.
He also serves as a member of the KCB Bank Kenya Limited
Board and is Chairman of KCB Bank Rwanda Board.",,
,,"NAME: JOSEPH
KANIA
(53 years)
DESIGNATION:
GROUP COMPANY
SECRETARY
DATE OF
APPOINTMENT:
June 2013","EDUCATION AND PROFESSIONAL BACKGROUND:
Joseph has over 25 years’ experience as an Advocate of the High Court
and 10 years’ experience as a Company Secretary. He holds an LLB degree
from the University of Nairobi and is an Advocate of the High Court of
Kenya. He is a Notary Public, Commissioner of Oaths as well as a Certified
Public Secretary of Kenya. He previously served as Company Secretary at
Housing Finance Limited. Other roles held include Senior Legal Officer at
the Industrial and Commercial Development Corporation and the Legal
Officer at Senator Cards/Southern Credit Corporation."
