New standard or amendments,"Effective for annual
periods beginning
on or after"
"• Amendments to IFRS
7-Disclosures-Offsetting
Financial Assets and Financial
Liabilities.",1 January 2013
"• IFRS 10-Consolidated
Financial Statements",1 January 2013
• IFRS 11-Joint Arrangements,1 January 2013
"• IFRS 12-Disclosure of
Interests in Other Entities",1 January 2013
"• Amendments to IFRS
10, IFRS 11 and IFRS
12-Consolidated
Financial Statements,
Joint Arrangements and
Disclosures of Interests in
Other Entities: Transition
Guidance",1 January 2013
"• IFRS 13-Fair value
measurement",1 January 2013
"• IAS 19-Employee Benefits
(2011)",1 January 2013
"• IAS 27-Separate Financial
Statements (2011)",1 January 2013
"• IAS 28-Investments in
Associates and Joint Ventures
(2011)",1 January 2013
