Column,SALARY,BONUS,ALLOWANCES,GRATUITY,NON CASH BENEFIT(1),TOTAL
Director’s Name,KShs. million,KShs. million,KShs. million,KShs. million,KShs. million,KShs. million
,68,180,10,14,1,
,32,43,-,6,1,
