2010
KShs‘000
"(12,812,076)"
"(1,315,529)"
"8,130"
"(336,108)"
"(1,089,930)"
"(1,580,773)"
"(2,998,681)"
"12,000,000"
-
"(2,217,778)"
"9,782,222"
"(7,344,064)"
"14,098,794"
"6,754,730"
