Grades,"No.
Students","% per
grade",Total,%
,45,4.40%,,
A-,129,12.70%,,
,168,16.60%,,
B,190,18.80%,,
,152,15.00%,,
C+,84,8.30%,768,89.51%
,41,4.00%,,
C-,30,3.00%,,
,7,0.70%,,
D,9,0.90%,,
,2,0.20%,89,10.37%
E,1,0.10%,1,0.12%
,858,,,100%
