"2012
KShS’000","2011
KShS’000"
"2,970,340
28,319,248
18,921,568
(8,085,759)","2,968,746
23,768,701
18,891,221
(7,225,759)"
"42,125,397
2,799,884","38,402,909
1,517,136"
"44,925,281","39,920,045"
"197,733,995
22.7%","192,939,432
20.7%"
21.3%,19.9%
12.0%,12.0%
8.0%,8.0%
