"2013
KShs.‘000","2012
KShs.‘000"
"5,971,970","11,920,252"
"79,402
(753,938)
(1,065,935)
(342,888)","78,249
(191,018)
(1,271,120)
(860,100)"
"(2,083,359)","(2,243,989)"
"422,520
(1,551,948)
(5,643,646)","31,941
-
(5,492,180)"
"(6,773,074)","(5,460,239)"
"(2,884,463)
19,313,064","4,216,024
15,097,040"
"16,428,601","19,313,064"
