Key performance indicator,2024 performance,2025 guidance (As of 30 April 2025)
,,"33% - 34%: In tandem with the rate in 2024 on anticipated balanced growth across both
funded and non-funded lines."
,,"43% - 45%: Improvement to be supported by cost reduction measures and strong
revenue growth, which will more than net off cost growth from investments in
technology including the upgrade of the core banking system in TMB."
,,"14% - 16%: Reduction to be driven by accelerating measures under our NPL resolution
strategy."
,,"2.2% - 2.4%: Improvement to be supported by better asset quality evidenced by low
early vintage ratios."
,,"3.8% - 4.2%: Improvement to driven by decline in market interest rates and mobilization
of low-cost CASA deposits."
,,6.6% - 7.4%: Moderation due to anticipated reduction in asset yield.
,,"10.8% - 11.2%: Projected to drop due to an anticipated drop in yield from government
securities and placements on lower market interest rates."
,,"8.0% - 10.0%: Growth expected to normalize, driven by balanced growth in priority
corporate and retail segments."
,,"9.0% - 11.0%: Expected to normalize, driven by CASA deposit mobilization across the
region and enhanced customer value propositions."
,,"22.0% - 24.0%: To be sustained by strong growth momentum across all businesses as
operating conditions continue to improve."
