"2012
KShs‘000","2011
KShs‘000"
"11,920,252","6,328,220"
"78,249
(191,018)
(1,271,120)
(860,100)","343,790
(581,123)
(1,075,049)
(1,854,906)"
"(2,243,989)","(3,167,288)"
"31,941
-
(5,492,180)","344,203
8,525,000
(3,687,825)"
"(5,460,239)","5,181,378"
"4,216,024
15,097,040","8,342,310
6,754,730"
"19,313,064","15,097,040"
