"KENYA COMMERCIAL BANK GROUP
UN AUDITED QUARTERLY FINANCIAL STATEMENTS AND OTHER DISCLOSURES FOR THE PERIOD ENDED 31ST MARCH 2014
BANK GROUP",Column,Column,Column,Column,Column,Column
,BANK,,,GROUP,,
"I STATEMENT OF FINANCIAL POSITION
A ASSETS
1 Cash ( both Local & Foreign)
2 Balances due from Central Bank of Kenya
3 Kenya Government and other securities held for dealing purposes
4 Financial Assets at fair value through profit and loss
5 Investment securities: a) Held to Maturity: a. Kenya Government securities
b. Other securities
b) Available for sale: a. Kenya Government securities
b. Other securities
6 Deposits and balances due from local banking institutions
7 Deposits and balances due from banking institutions abroad
8 Tax recoverable
9 Loans and advances to customers (net)
10 Balances due from group companies
11 Investments in associates
12 Investments in subsidiary companies
13 Investments in joint ventures
14 Investment properties
15 Property and equipment
16 Prepaid lease rentals
17 Intangible assets
18 Deferred tax asset
19 Retirement benefit asset
20 Other assets
21 TOTAL ASSETS
B LIABILITIES
22 Balances due to Central Bank of Kenya
23 Customer deposits
24 Deposits and balances due to local banking institutions
25 Deposits and balances due to foreign banking institutions
26 Other money market deposits
27 Borrowed funds
28 Balances due to group companies
29 Tax payable
30 Dividends payable
31 Deferred tax liability
32 Retirement benefit liability
33 Other liabilities
34 TOTAL LIABILITIES
C SHAREHOLDERS' FUNDS
35 Paid up /Assigned capital
36 Share premium/(discount)
37 Revaluation reserves
38 Retained earnings/ Accumulated losses
39 Statutory loan loss reserve
40 Other Reserves/Remeasurement of defined asset/liability
41 Proposed dividends
42 Capital grants
43 TOTAL SHAREHOLDERS' FUNDS
44 Minority Interest
45 TOTAL LIABILITIES AND SHAREHOLDERS' FUNDS","31-Mar-13
Kshs 000
Un-Audited","31-Dec-13
Kshs 000
Audited","31-Mar-14
Kshs 000
Un-Audited","31-Mar-13
Kshs 000
Un-Audited","31-Dec-13
Kshs 000
Audited","31-Mar-14
Kshs 000
Un-Audited"
,"6 ,745,779
2 5,457,733
2 ,298,486
-
4 0,790,439
-
1 3,321,940
2 ,295,925
2 ,800,000
2 ,627,432
-
1 86,542,815
-
1 25
9 ,777,222
-
-
5 ,581,385
1 41,786
9 87,195
1 ,934,023
-
6 ,728,941","8 ,649,573
8 ,173,873
6 ,241,984
-
2 8,504,194
-
3 5,847,320
2 ,057,948
5 6,742
5 ,166,173
6 79,218
1 98,370,069
-
1 25
9 ,827,392
-
-
5 ,363,433
1 39,496
1 ,334,265
2 ,027,503
1 ,837,000
8 ,408,546","7 ,998,013
1 1,097,457
3 24,890
-
4 2,573,109
-
4 4,276,899
1 ,991,348
-
3 ,978,497
6 79,218
2 04,646,324
-
1 25
1 0,727,392
-
-
5 ,380,986
1 38,872
1 ,221,526
2 ,027,503
1 ,837,000
5 ,982,111","1 3,982,559
2 5,457,733
2 ,298,486
-
4 0,790,439
1 9,507,521
1 3,321,940
2 ,295,925
2 ,800,000
1 6,730,523
1 0,598
2 11,859,383
-
-
-
-
-
8 ,806,968
1 43,966
9 87,195
2 ,291,702
-
8 ,259,935","1 5,759,310
8 ,173,873
6 ,241,984
-
2 8,504,194
2 0,344,670
3 5,847,320
2 ,057,948
1 ,059,638
1 9,349,766
7 40,020
2 27,721,781
-
-
-
-
-
8 ,484,836
1 41,642
1 ,403,180
2 ,445,334
1 ,837,000
1 0,739,083","1 6,025,722
1 1,097,457
3 24,890
-
4 2,573,109
1 9,247,326
4 4,276,899
1 ,991,348
-
1 9,652,813
7 22,274
2 33,783,558
-
-
-
-
-
8 ,232,932
3 01,633
1 ,306,750
2 ,364,040
1 ,837,000
7 ,691,085"
,"3 08,031,226","3 22,684,854","3 44,881,270","3 69,544,873","3 90,851,579","4 11,428,836"
,"-
2 24,508,353
6 ,302,330
2 ,663,420
-
8 ,565,000
4 ,828,561
2 ,810,365
-
-
-
3 ,224,705","-
2 37,212,782
-
5 ,516,617
-
7 ,073,182
5 ,966,928
-
-
-
-
5 ,152,306","-
2 46,590,369
3 ,331,693
6 ,965,579
-
9 ,661,091
6 ,648,892
-
-
-
-
6 ,087,035","-
2 87,317,169
6 ,302,330
3 ,141,921
-
8 ,952,214
-
2 ,820,645
-
-
-
5 ,846,554","-
3 05,659,189
-
6 ,650,977
-
7 ,719,647
-
1 79,377
-
-
-
7 ,287,423","-
3 13,509,755
3 ,331,693
8 ,362,073
-
1 0,279,762
-
1 18,300
-
-
-
9 ,050,090"
,"2 52,902,734","2 60,921,815","2 79,284,658","3 14,380,833","3 27,496,613","3 44,651,673"
,"2 ,970,340
1 8,921,568
( 442,404)
2 5,235,458
2 ,799,884
-
5 ,643,646
-","2 ,984,228
1 9,330,200
( 163,398)
2 8,331,418
3 ,220,136
2 ,092,000
5 ,968,455
-","2 ,984,228
1 9,330,200
4 10,347
3 1,591,246
3 ,220,136
2 ,092,000
5 ,968,455
-","2 ,970,340
1 8,921,568
( 1,788,327)
2 6,265,285
3 ,151,528
-
5 ,643,646
-","2 ,984,228
1 9,330,200
( 163,398)
2 8,772,226
4 ,371,255
2 ,092,000
5 ,968,455
-","2 ,984,228
1 9,330,200
4 10,347
3 1,620,678
4 ,371,255
2 ,092,000
5 ,968,455
-"
,"5 5,128,492","6 1,763,039","6 5,596,612","5 5,164,040","6 3,354,966","6 6,777,163"
,-,-,-,-,-,-
,"3 08,031,226","3 22,684,854","3 44,881,270","3 69,544,873","3 90,851,579","4 11,428,836"
