KShs Millions,KCB Bank Kenya,Column,Column,KCB GROUP,Column,Column
,"Actual
H1-16","Actual
H1-17","Y-O-Y
Change","Actual
H1-16","Actual
H1-17","Y-O-Y
Change"
Interest Income,"28,291","27,174",(4%),"31,609","30,363",(4%)
Interest Expense,"(7,783)","(5,974)",(23%),"(9,107)","(7,214)",(21%)
Net interest income,"20,508","21,200",3%,"22,501","23,149",3%
Foreign exchange income,"1,036","1,540",49%,"2,567","2,645",3%
Net fees and commissions,"4,613","5,324",15%,"6,304","7,210",14%
Other income,"2,111","1,042",(51%),"2,337","1,633",(30%)
Total operating income,"28,268","29,106",3%,"33,709","34,637",3%
Total operating expenses,"(12,529)","(13,696)",9%,"(15,633)","(16,909)",8%
Net provisions for bad debts,"(1,775)","(1,630)",(8%),"(2,061)","(2,013)",(3%)
"Profit Before Loss on Monetary
Position","13,964","13,780",(1%),"16,015","15,715",(2%)
Loss on Monetary Position,-,-,-,"(1,182)",(963),(2%)
Profit before tax,"13,964","13,780",(1%),"14,833","14,752",(1%)
Tax,"4,189","4,145",(1%),"4,552","4,491",(1%)
Profit after tax,"9,775","9,635",(1%),"10,281","10,261",0%
