Column,"AUDITED
DEC 2012","UN-­‐AUDITED
MAR 2012","UN-­‐AUDITED
MAR 2013","%
Change"
Assets,,,,
Cash and balances with Central Bank,"26,364","29,581","39,440",33%
Balances with other insDtuDons,"20,478","31,727","19,531",(38%)
Investments in Government securiDes,"86,992","56,887","75,918",33%
Investment securiDes,"2,299","2,384","2,296",(4%)
Net loans and advances,"211,664","195,323","211,859",8%
Fixed assets,"10,217","9,614","9,938",3%
Other assets,"9,365","8,832","10,562",19%
Total Assets,"367,379","334,348","369,544",11%
LiabiliDes,,,,
Customer deposits,"288,037","259,985","287,317",11%
Balances due to other banks,"9,334","11,791","9,444",(20%)
Other liabiliDes,"7,746","6,366","8,667",36%
Long-­‐term debt,"8,923","8,719","8,952",3%
Total LiabiliEes,"314,040","286,861","314,380",10%
Share capital,"2,970","2,969","2,970",0%
Proposed dividends,"5,644","5,492","5,644",3%
Reserves and premium,"44,725","39,026","46,550",19%
Shareholders Equity,"53,339","47,487","55,164",16%
Total LiabiliEes and Equity,"367,379","334,348","369,544",11%
