CORPORATE -TERM LOANS,"Stage 1
12-month ECL","Stage 2
Lifetime ECL","Stage 3
Lifetime ECL",Total
,Kshs million,KShs million,KShs million,KShs million
,"295,511","101,479","149,860","546,850"
,"14,115","(14,091)",(24),-
,"(28,390)","24,601","3,789",-
,"3,633","(11,313)","7,680",-
,"(2,674)","(12,361)","(12,487)","(27,522)"
,"29,530","18,505","(11,072)","36,963"
,"(39,030)","(31,958)","(14,923)","(85,911)"
,"272,695","74,862","122,823","470,380"
