"2012
KShs‘000","2011
KShs‘000"
"6,009,336","13,653,776"
"82,794
(196,187)
-
(2,665,360)","359,151
(581,782)
(2,769)
(1,732,186)"
"(2,778,753)","(1,957,586)"
"31,941
-
(5,492,180)","344,203
8,525,000
(3,687,825)"
"(5,460,239)","5,181,378"
"(2,229,656)
119,156
41,931,416","16,877,568
(76,894)
25,130,742"
"39,820,916","41,931,416"
