"2015
KShs’000",Column,"2015
KShs’000",Column
"56,230,176",,"50,216,861",
"20,135,561",,"20,135,561",
"8,947,452",,"8,044,803",
"( 1,126,781)","( 92,718)
1,286,600
( 326,082)","(1,058,680)","(92,718)
1,286,600
-"
"522,200",,"522,200",
"( 6,480,214)",,-,
,"867,800",,
"(7,084,795)",,"(536,480)",
,"72,608,344",,
"78,228,394",,"77,860,745",
