2016,1-Jan-16,"Net change in
monetary items",31-Dec-16
,Kshs. million,Kshs. million,Kshs. million
,,"12,174
334
351
196
341
460
(11,379)
1
(22)
(668)
(337)",
,"4,949",,"17,123"
,"1,296",,"1,630"
,204,,555
,230,,426
,273,,614
,17,,477
,"(6,224)",,"(17,603)"
,(1),,1
,(9),,(32)
,(176),,(844)
,(64),,(401)
,495,"1,451
(2,532)","1,946"
,"(2,872)",,"(5,404)"
,"(2,377)","(1,081)","(3,458)"
