KCB Group,Column,Column,KCB Bank Kenya,Column,Column
H1 21,H1 22,Y-O-Y,H1 21,H1 22,Y-O-Y
,,Change,,,Change
63.3,50.7,(20%),51.9,38.3,(26%)
52.5,50.6,(4%),19.3,15.7,(18%)
213.0,285.0,34%,143.1,203.8,42%
607.0,730.3,20%,497.9,563.2,13%
29.3,32.3,10%,20.3,19.9,(2%)
57.0,61.2,7%,47.4,47.0,(1%)
"1,022.2","1,210.1",18%,779.9,887.8,14%
786.0,908.6,16%,601.7,674.8,12%
15.0,35.8,138%,3.8,16.9,346%
35.0,40.2,15%,33.2,35.7,7%
33.2,43.8,33%,26.0,27.2,7%
869.2,"1,028.4",18%,664.7,754.6,14%
152.9,179.1,17%,115.2,133.2,15%
"1,022.2","1,210.1",18%,779.9,887.8,14%
