Title,Key requirements,Effective Date
"IFRS 17
Insurance
contracts","IFRS 17 requires a current measurement model where estimates are remeasured in each
reporting period. Contracts are measured using the building blocks of:
• discounted probability-weighted cash flows
• an explicit risk adjustment, and
• a contractual service margin (CSM) representing the unearned profit of the contract
which is recognised as revenue over the coverage period.
The standard allows a choice between recognising changes in discount rates either in
the statement of profit or loss or directly in other comprehensive income.
An optional, simplified premium allocation approach is permitted for the liability for the
remaining coverage for short duration contracts, which are often written by non-life
insurers.
There is a modification of the general measurement model called the ‘variable fee
approach’ for certain contracts written by life insurers where policyholders share in the
returns from underlying items. When applying the variable fee approach, the entity’s
share of the fair value changes of the underlying items is included in the CSM. The results
of insurers using this model are therefore likely to be less volatile than under the general
model.","Annual periods
beginning on or
after 1 January
2023"
"Classification
of Liabilities
as Current or
Non-current –
Amendments
to IAS 1","The narrow-scope amendments to IAS 1 Presentation of Financial Statements clarify
that liabilities are classified as either current or non-current, depending on the rights
that exist at the end of the reporting period. Classification is unaffected by the entity’s
expectations or events after the reporting date (e.g. the receipt of a waver or a breach
of covenant).
The amendments also clarify what IAS 1 means when it refers to the ‘settlement’ of a
liability. The amendments could affect the classification of liabilities, particularly for
entities that previously considered management’s intentions to determine classification
and for some liabilities that can be converted into equity.","Annual periods
beginning on or
after 1 January
2023"
"Disclosure of
Accounting
Policies
(Amendments
to IAS 1 and
IFRS Practice
Statement 2)","The IASB amended IAS 1 to require entities to disclose their material rather than their
significant accounting policies. The amendments define what is ‘material accounting
policy information’ and explain how to identify when accounting policy information
is material. They further clarify that immaterial accounting policy information does
not need to be disclosed. If it is disclosed, it should not obscure material accounting
information.","Annual periods
beginning on or
after 1 January
2023"
"Definition of
Accounting
Estimates-
Amendments
to IAS 8","The amendment to IAS 8 Accounting Policies, Changes in Accounting
Estimates and Errors clarifies how companies should distinguish changes in accounting
policies from changes in accounting estimates. The distinction is important, because
changes in accounting estimates are applied prospectively to future transactions and
other future events, whereas changes in accounting policies are generally applied
retrospectively to past transactions and other past events as well as the current period.","Annual periods
beginning on or
after 1 January
2023"
