Major Shareholders,"Number
of Shares",% Shareholding
,"635,001,947",19.76
,"263,731,809",8.21
,"128,897,900",4.01
,"59,202,400",1.84
,"38,837,923",1.21
,"33,289,541",1.04
,"29,367,300",0.91
,"27,725,226",0.86
,"27,569,400",0.86
,"25,593,015",0.80
,"1,269,216,461",39.50
