"GROUP BALANCE SHEET (KShs. Millions)
AUDITED %
DEC 2010 Jun-10 Jun-11 Change",Column,Column,Column,Column,Column
,,"AUDITED
DEC 2010",Jun-10,Jun-11,"%
Change"
,AAssets,,,,
,Cash and balances with CBK,"18,028","18,974","17,867",(6%)
,Balances with other institutions,"19,181","8,919","21,297",>100%
,Investments in Gvt. Securities,"44,246","45,782","40,544",(11%)
,AAvvaaiillaabbllee ffoorr SSaallee IInnvveessttmmeennttss,"55,886622","22,001111","77,447777",>>110000%%
,Net loans and advances,"148,113","130,005","175,204",35%
,Fixed assets,"9,786","10,183","10,069",(1%)
,Other assets,"6,140","10,275","7,258",(29%)
,TToottaall AAsssseettss,"225511,,335566","222266,,114499","227799,,771166",2244%%
,Liabilities,,,,
,Deposits,"196,975","191,975","215,738",12%
,Balances due to other banks,"11,057","4,849","19,974",>100%
,Other liabilities,"4,,194","5,,948","5,,569",((6%))
,Total Liabilities,"212,226","202,772","241,281",19%
,Share capital,"2,950","2,218","2,950",33%
,Proposed dividends,"3,688",-,-,-
,Reserves and premium,"32,492","21,159","35,485",68%
"Shareholders Equity 39,130 23,377 38,435 64%
Total Liabilities and Equity 251,356 226,149 279,716 24%",Shareholders Equity,"39,130","23,377","38,435",64%
,Total Liabilities and Equity,"251,356","226,149","279,716",24%
