KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC (COMPANY),Column,KCB GROUP PLC (CONSOLIDATED)
"49,334,441",,"(5,624,763)",,"48,032,178",,"108,458,562"
-,,"3,762,684",,-,,"4,960,394"
-,,"150,876",,-,,"(10,524,618)"
-,,-,,-,,-
-,,-,,-,,-
"104,134,722","101,108,298 98,172,727 92,607,634 103,799,988","11,913,390","11,338,933 11,859,422 11,704,420 7,228,992","78,884,559","79,366,549 87,461,095 87,445,293 68,308,058","135,945,049"
-,- - - -,-,- - - -,-,- - - -,-
"739,376,221","730,292,814 728,913,837 674,301,720 667,693,686","129,590,385","119,225,458 113,796,756 112,028,747 107,216,724","81,821,763","81,760,916 87,658,488 87,449,661 71,489,036","972,009,256"
,"24,720,409 11,896,104 50,614,710 36,250,627
7,606,469 3,683,039 12,010,200 8,825,411
352,471 190,164 1,124,242 689,531
- - - -",,"2,312,683 1,268,617 4,606,559 3,252,346
2,329,695 1,162,797 4,386,171 3,317,300
40,999 19,312 35,648 28,490
- - - -",,"- - - -
- - - -
21,129 14,425 - -
- - - -",
"37,616,767",,"3,449,525",,-,,"45,750,326"
"11,775,610",,"3,651,614",,-,,"16,843,353"
"458,272",,"80,438",,"30,610",,"692,872"
-,,-,,-,,-
"49,850,649","32,679,349 15,769,307 63,749,152 45,765,569","7,181,577","4,683,377 2,450,726 9,028,378 6,598,136","30,610","21,129 14,425 - -","63,286,551"
,"7,010,682 3,531,341 13,434,169 9,766,555
667,568 320,960 1,456,515 1,081,489
- - - -",,"1,233,676 596,326 2,131,853 1,649,962
58,374 15,565 460,267 298,065
48,003 24,002 147,679 69,326",,"- - - -
- - - -
- - - -",
"10,463,193",,"1,870,183",,-,,"13,984,919"
"902,664",,"72,848",,-,,"1,438,681"
-,,"72,005",,-,,-
"11,365,857","7,678,250 3,852,301 14,890,684 10,848,044","2,015,036","1,340,053 635,893 2,739,799 2,017,353",-,- - - -,"15,423,600"
"38,484,792","25,001,099 11,917,006 48,858,468 34,917,525","5,166,541","3,343,324 1,814,833 6,288,579 4,580,783","30,610","21,129 14,425 - -","47,862,951"
,"4,730,062 2,563,123 8,804,676 6,325,814
3,035,565 1,932,572 8,017,461 6,013,902
1,546,968 971,964 3,137,498 2,239,817
- - - -
1,639,242 727,301 3,579,632 2,865,065",,"63,812 44,851 147,545 90,005
534,384 299,070 1,185,731 879,385
196,947 89,737 551,980 363,358
57,000 57,000 33,800 33,800
107,253 41,550 136,635 55,569",,"- - - -
- - - -
27,259 20,795 (3,942) 9,787
170,000 170,000 16,551,183 3,239,166
45,278 34,679 155,586 116,393",
"6,529,806",,"77,183",,-,,"6,802,502"
"4,800,978",,"760,550",,-,,"7,500,786"
"2,172,908",,"364,733",,"36,998",,"3,327,144"
-,,"57,000",,"170,000",,-
"2,997,326",,"231,089",,"47,054",,"3,649,411"
"16,501,018","10,951,837 6,194,960 23,539,267 17,444,598","1,490,555","959,396 532,208 2,055,691 1,422,117","254,052","242,537 225,474 16,702,827 3,365,346","21,279,843"
"54,985,810","35,952,936 18,111,966 72,397,735 52,362,123","6,657,096","4,302,720 2,347,041 8,344,270 6,002,900","284,662","263,666 239,899 16,702,827 3,365,346","69,142,794"
