GROUP BALANCE SHEET (KSHS. M),Column,Column,Column
,"AUDITED
Dec 2010","AUDITED
Dec 2011","%
Change"
Assets,,,
Cash and balances with Central Banks,"26,998","42,708",58%
Balances with other institutions,"10,211","25,812",153%
Investments in Gvt. Securities,"47,672","43,591",(9%)
Investment Securities,"2,436","2,414",(1%)
Net loans and advances,"148,113","198,725",34%
Fixed assets,"9,786","9,683",(1%)
Other assets,"6,140","7,783",27%
Total Assets,"251,356","330,716",32%
Liabilities,,,
Customer Deposits,"196,975","259,309",32%
Balances due to other banks,"11,057","14,105",28%
Other liabilities,"4,194","4,412",5%
Long-term debt,-,"8,525",-
Total Liabilities,"212,226","286,351",35%
Share capital,"2,950","2,969",1%
Proposed dividends,"3,688","5,492",49%
Reserves and premium,"32,492","35,904",11%
Shareholders Equity,"39,130","44,365","13%
22"
Total Liabilities and Equity,"251,356","330,716",32%
