KShs Millions,KCB GROUP,Column,Column
,"Actual
Dec - 15","Actual
Dec - 16","Y-O-Y
Change"
Interest Income,"56,384","62,806",11%
Interest Expense,"17,148","15,779",-8%
Net interest income,"39,236","47,027",20%
Foreign exchange income,"4,067","5,494",35%
Net fees and commissions,"14,160","12,625",-11%
Other income,"2,794","4,332",55%
Total operating income,"60,257","69,475",15%
Total operating expenses,"31,365","33,102",6%
Net provisions for bad debts,"2,355","3,824",62%
Profit Before Loss on Monetary Position,"26,538","32,549",15%
Loss on net monetary position,-,"3,458",
Profit before tax,"26,538","29,091",10%
Tax,"6,915","9,369",35%
Profit after tax,"19,623","19,722",1%
