COUNTRY: TANZANIA,Column,Column,Column
"Date of
change",Legislation,Change,Impact to KCB
Stakeholder Directives,,,
August 2024,"Strengthening
gender
representation
and inclusivity
in leadership
roles in banks
on circular NO
FA.130/170/01/579",""" The circular requires ûnancial institutions to
adopt measures that will ensure at least one-
third of board membership comprises women.
"" Board Charters of Financial Institutions should
adopt guidelines for achieving and maintaining
gender diversity and the talent management
policy to include succession plans, recruitment
and retention management senior management
team and board member.
"" Financial institutions should set targets for
female participation in executive positions and
implement career development programs that
support the advancement of women",""" KCB Bank Tanzania will adopt measures to
ensure gender diversity."
"December
2024","Ref No. NC
53/235/01/171",""" The Bank a Tanzania (BOT) has issued a directive
prohibiting all banks and ûnancial institutions
operating within the country from imposing
fees and charges on internal account transfers
effective 1 January 2025.",""" Reduces the cost of banking services for
customers and promotes ûnancial inclusion."
"December
2024","Ref
LA.53/449/01/1197
Prohibition of
Surcharging on
Card Payment.",""" The Bank of Tanzania (BOT) reminded all banks,
ûnancial institutions and Payment Service
Providers (PSPs) to ensure that merchants
onboarded on their platforms do not impose
surcharges on customers using cards for digital
transactions at Point of Sale (POS) terminals.",""" KCB Bank Tanzania will ensure that
merchants onboarded on its platforms
do not impose surcharges on customers
using cards for digital transactions at POS
terminals."
COUNTRY: SOUTH SUDAN,,,
"Date of
change",Legislation,Change,Impact to KCB
"November
2024","The South Sudan
Financial Act,
2024/2025",""" The Act introduces amendments to various
tax laws including Business Proût Tax (BPT),
Withholding Tax (WHT), Excise Tax, Customs
Duties, other fees and charges imposed by
various Government of the Republic of South
Sudan (GRSS) institutions.
"" The changes affected monthly WHT and Excise
Tax returns for the month of December 2024
onwards. They also impact the BPT return for the
Fiscal Year (FY) 2024.",""" The ûnancial sector has not been impacted
by the tax changes. BPT, Personal Income
Tax, sales tax and WHT have largely
remained as it was in 2024
"" From the business front the scaleup of BPT
instalment tax from 2% to 4% will strain
business operations.
"" Excise duty on various products has been
scaled down except for alcohol and
tobacco hence expected to increase
business activities for SMEs and Retail"
