2012,"(Restated)
2011"
KShS’000,KShS’000
"43,082,218
(12,445,986)","28,501,387
(4,616,241)"
"30,636,232","23,885,146"
"9,073,812
3,688,137
13,709
647,448","8,729,447
3,607,836
26,157
854,794"
"44,059,338
(2,098,035)
(24,753,160)","37,103,380
(145,778)
(21,828,228)"
"17,208,143
(5,004,612)","15,129,374
(4,148,328)"
"12,203,531","10,981,046"
"12,203,531
-","10,981,046
-"
"12,203,531","10,981,046"
4.11,3.72
