Column,Board,Audit & Risk,Strategy & IT,Oversight,"Human
Resources &
Governance",Nominations
Number of meetings,7,7,7,5,9,4
Andrew W. Kairu,7,-,-,-,-,4
"C.S. National Treasury
(Alternate – Eng. Stanley Kamau)",5,-,7,3,4,-
Tom Ipomai(1),4,4,-,5,1,2
Georgina Malombe,6,7,1,5,-,-
John Nyerere,3,-,3,-,8,3
Lawrence Njiru,5,-,1,5,9,4
