"USD
KShs million","GBP
KShs million","EURO
KShs million","OTHER
KShs million","Total
KShs million"
"25,295",576,"3,778",804,"30,453"
"122,134",14,"1,631",-,"123,779"
"5,761",271,785,70,"6,887"
"19,899",17,101,163,"20,180"
"173,089",878,"6,295","1,037","181,299"
"1,920",18,101,1,"2,040"
"103,970",815,"5,481",329,"110,595"
"52,288",33,101,188,"52,610"
"158,178",866,"5,683",518,"165,245"
"14,911",12,612,519,"16,054"
