Director,Classification,Designation,Column,Board,"Audit
and
Risk","Nomination
and
Remuneration","Legal
risk","Strategy
Day",IHRA*
Mr. Nicholas Ng’ang’a,Non-Executive,"Chairman of the
Board",Membership,√,,,,√,
,,,Attendance,4/4,2/2,,,1/1,
Mr. Christopher Flowers,Executive,Managing Director,Membership,√,,√,,√,
,,,Attendance,4/4,2/2,5/5,6/6,1/1,
Mr. Graham Mclean,Non-Executive,,Membership,√,,,,√,
,,,Attendance,4/4,2/2,,,1/1,
Mr. Daniel Ndonye,Non-Executive,"Chairman of the
Audit and Risk
Committee",Membership,√,√,,,√,
,,,Attendance,4/4,2/2,,,1/1,
Mr. Stephen Waruhiu,Non-Executive,"Chairman of the
Nomination and
Remuneration
Committee",Membership,√,√,√,√,√,
,,,Attendance,4/4,2/2,5/5,6/6,1/1,
Mr. Andrew Njoroge,Non-Executive,"Chairman of the
Legal Risk
Committee",Membership,√,√,√,√,√,√
,,,Attendance,4/4,2/2,5/5,6/6,1/1,3/3
Dr John K Kimani,Non-Executive,,Membership,√,,,,√,
,,,Attendance,4/4,2/2,,,1/1,
Mr. Ketan Shah,Executive,Finance Director,Membership,√,,,,√,
,,,Attendance,4/4,2/2,,,0/1,
Ms. Pamella Ager,Non-Executive,,Membership,,,,,√,
,,,Attendance,3/4,1/2,,2/6,1/1,
