Category,"Number of
Shareholders","Number of
Shares",%
Local Individual Investors,"1,154","8,096,194",41.31%
Local Institutional Investors,97,"5,541,023",28.27%
Foreign Individual Investors,124,"359,689",1.83%
Foreign Institutional Investors,20,"5,603,093",28.59%
Total,"1,395","19,599,999",100.00%
