Director’s Name,Occupation,Appointment Date
"Mr. Nicholas Ng’ang’a – Chairman – Non-Executive
Director",Farmer/Businessman,28 November 2002
"Mr. Christopher Flowers – Managing Director (Executive
Director)",Engineer,28 March 2013
Mr. Graham Mclean – Non -Executive Director,Agriculturist,01 January 2005
Mr. Daniel M Ndonye – Non-Executive Director,Accountant,29 November 2012
Mr. Stephen Waruhiu – Non-Executive Director,"Valuer and Estate
Agent",29 November 2012
Mr. Andrew Ndegwa Njoroge – Non-Executive Director,Accountant,2 August 2016
Dr John Kibunga Kimani – Non-Executive Director,Agriculturist,1 November 2020
Mr. Ketan Shah – Finance Director (Executive Director),Accountant,28 August 2007
Ms. Pamella Ager – Independent Director,Lawyer,1 April 2023
