Ordinary shares range,"Number of
shareholders","Number of
ordinary
shares",%
Less than 500,943,"134,813",0.69%
"501 to 5,000",405,"720,511",3.68%
"5,001 to 10,000",46,"350,248",1.79%
"10,001 to 100,000",38,"745,250",3.80%
"100,001 to 1,000,000",5,"1,176,020",6.00%
"Over 1,000,000",3,"16,473,157",84.05%
,"1,440","19,599,999",100.00%
