Director,Classification,Designation,Column,Board,"Audit &
Risk","Nomination &
Remuneration",Litigation
"Mr
Nicholas
Ng’ang’a",Non-Executive,"Chairman of the
Board",Membership,,,,
,,,,,"Upto 31st
Oct 2020","Upto 24th Nov
2020",
,,,Attendance,5/5,2/2,3/3,
"Mr
Christopher
Flowers",Executive,"Managing
Director",Membership,,,,
,,,Attendance,5/5,2/2,3/3,
"Mr Graham
Mclean",Non-Executive,,Membership,,,,
,,,,,,"Upto 24th Nov
2020",
,,,Attendance,5/5,2/2,3/3,
"Mr Daniel
Ndonye",Non-Executive,"Chairman of the
Audit and Risk
Committee",Membership,,,,
,,,,,,"Upto 24th Nov
2020",
,,,Attendance,5/5,2/2,3/3,
"Mr Stephen
Waruhiu",Non-Executive,"Chairman of the
Nomination &
Remuneration
Committee",Membership,,,,
,,,Attendance,5/5,2/2,3/3,1/1
"Mr Andrew
Njoroge",Non-Executive,"Chairman of the
Litigation
Committee",Membership,,,,
,,,Attendance,5/5,2/2,3/3,1/1
"Dr John K
Kimani",Non-Executive,,Membership,,,,
,,,Attendance,1/1,,,
"Mr Ketan
Shah",Executive,Finance Director,Membership,,,,
,,,,,,"Upto 24th Nov
2020",
,,,Attendance,5/5,2/2,3/3,
