Director,Classification,Designation,Column,Board,"Audit &
Risk","Nomination &
Remuneration"
"Mr
Nicholas
Nganga",Non-Executive,"Chairman of the
Nomination and
Remuneration
Committee",Membership,,,
,,,Attendance,4/4,2/2,1/1
"Mr
Christopher
Flowers",Executive,"Managing
Director",Membership,,,
,,,Attendance,4/4,2/2,1/1
"Mr Graham
Mclean",Non-Executive,"Chairman of the
Board",Membership,,,
,,,Attendance,4/4,,1/1
"Mr Daniel
Ndonye",Non-Executive,"Chairman of the
Audit and Risk
Committee",Membership,,,
,,,Attendance,4/4,2/2,1/1
"Mr Stephen
Waruhiu",Non-Executive,,Membership,,,
,,,Attendance,4/4,2/2,1/1
"Mr Andrew
Njoroge",Non-Executive,,Membership,,,
,,,Attendance,4/4,2/2,1/1
"Mr Kenneth
W. Tarplee",Non-Executive,,Membership,,,
,,,Attendance,0/4,0/2,0/1
"Mr Ketan
Shah",Executive,Finance Director,Membership,,,
,,,Attendance,4/4,2/2,1/1
