Tea,"Joint Venture
Pineapples",Avocados,All other segments,Consolidated
Shs'000 Shs'000 Shs'000 Shs'000 Shs'000 Shs'000 Shs'000 Shs'000 Shs'000 Shs'000,,,,
"2 93,395 167,695 22,407 41,458 507,059 344,422 3 4,750 (17,547) 8 57,611 536,028
( 9,028) ( 10,201) - ( 3,534) ( 15,553) ( 12,962) ( 20,815) ( 17,196) ( 45,396) ( 43,893)
6 ,600 1 45,446 - - ( 7,050) ( 6,401) 6 5,013 4 2,394 6 4,563 1 81,439",,,,
"2 90,967 3 02,940 2 2,407 3 7,924 4 84,456 3 25,059 7 8,948 7 ,651 8 76,778 6 73,574",,,,
"( 55,421) ( 42,349) - - ( 282,175) ( 227,989) - - ( 337,596) ( 270,338)",,,,
"2 35,546 2 60,591 2 2,407 3 7,924 2 02,281 9 7,070 7 8,948 7 ,651 5 39,182 4 03,236",,,,
"1 6,095 2 1,738
6 ,084 2 92
( 19,473) ( 51,399)
1 7,002 1 6,321",,,,
,,,,"1 6,095 2 1,738
6 ,084 2 92
( 19,473) ( 51,399)
1 7,002 1 6,321"
"2 35,546 2 60,591 2 2,407 3 7,924 2 02,281 9 7,070 7 8,948 7 ,651 5 58,890 3 90,188
( 68,779) ( 71,663) ( 6,543) ( 10,429) ( 59,066) ( 26,694) ( 34,207) 1 ,515 ( 168,595) ( 107,271)",,,,
"1 66,767 1 88,928 1 5,864 2 7,495 1 43,215 7 0,376 4 4,741 9 ,166 3 90,295 2 82,917",,,,
"9 71,358 6 79,052 - 1 08,545 8 90,246 9 37,496 7 90,685 7 13,968 2 ,652,289 2 ,439,061
2 20,966 2 23,458
2 ,873,255 2 ,662,519
1 97,385 1 70,453 - 1 ,246 3 1,887 1 44 3 0,671 1 7,826 2 59,943 1 89,669
4 4,188 2 19,220
3 04,131 4 08,889",,,,
"4 ,132 8 ,147 - - 4 ,456 3 5,611 8 ,046 1 8,342 1 6,634 6 2,100
- 9 2 - - 1 2,557 2 9,791 6 5,478 5 4,304 7 8,035 8 4,187",,,,
"4 ,132 8 ,239 - - 1 7,013 6 5,402 7 3,524 7 2,646 9 4,669 1 46,287",,,,
