Director’s Name,Occupation,Appointment Date
Mr Graham Mclean – Chairman – Non-Executive Director,Agriculture,01 January 2005
"Mr Christopher Flowers – Managing Director
(Executive Director).",Engineer,28 March 2013
Mr Nicholas Nganga – Non-Executive Director,Farmer,28 November 2002
Mr Daniel M Ndonye – Independent Director,Accountant,29 November 2012
Mr Stephen Waruhiu –Independent Director,"Valuer and Estate
Agent",29 November 2012
Mr Andrew Ndegwa Njoroge –– Independent Director,Accountant,2 August 2016
Mr Kenneth W Tarplee –Non-Executive Director (Deceased),Accountant,10 February 1993
Mr Ketan Shah – Finance Director (Executive Director).,Accountant,28 August 2007
