Column,Shareholders Name,Number of Shares,"Percentage
Shareholding (%)"
1.,"Standard Chartered Kenya
Nominees A/C Ke002883","353,665,200",36.84
2.,Amanat Investments Limited,"137,481,245",14.32
3.,"Athi River Mining Employee
Share Ownership Plan","131,435,335",13.69
4.,"Paunrana Pradeep
Harjivandas","89,680,000",9.34
5.,"Standard Chartered
Nominees Ac Ke15615","21,757,541",2.27
6.,"Stanbic Nominees Limited A/C
R 57601","7,958,800",2
7.,"Standard Chartered Bank A/C
Pan African Unit Linked Funds","17,676,409",1.84
8.,"Stanbic Nominees Ltd A/C
Nr1030820","14,945,300",1.56
9.,"Standard Chartered
Nominees Non-Resident A/C
9866","14,249,900",1.48
10.,Tannel World Limited,"5,834,310",1.46
11.,Others,"165,256,160",15.2
,Total,"959,940,200",100
