At 31 December 2015,Column,Column,Column,Column
Trade receivables,"3,237,825","265,328","(132,664)","3,370,489"
Due from related parties,"96,032",-,-,"96,032"
Bank balances,"206,493",-,-,"206,493"
,"3,540,350","265,328","(132,664)","3,673,014"
