At 1 January 2015,-,"440,273","128,872","2,052,836",-,"2,621,981"
Charge for the year,-,"231,363","41,658","604,022",-,"877,043"
"Write back of depreciation
on revaluation",-,"(622,598)","(189,921)","(2,248,704)",-,"(3,061,223)"
Translation difference,-,"644,752","28,565","503,584",-,"1,176,901"
At 31 December 2015,-,"693,790","9,174","911,738",-,"1,614,702"
