"2016 BOARD & BOARD COMMITTEES MEMBERSHIP AND
ATTENDANCE",Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
Director,Classification,Designation,,Board,Audit &,"Hr,Nom",Strat &,Mining,Tech,Esg
,,,,,Risk,& Rem,Invest,Comm,Comm,Comm
,,,,,Comm,Comm,Comm,,,
Mr. R. Ashley,"Non-
Executive","Chairman of
the Board",Membership,√,√,n/a,√,√,n/a,n/a
,,"& Investments
and Strategy
Committee",Attendance,4/6,3/3,n/a,1/1,1/1,n/a,n/a
"Mr. P. H.
Paunrana","Executive
Director","Managing
Director",Membership,√,n/a,n/a,√,√,√,√
,,,Attendance,6/6,n/a,n/a,1/1,1/1,1/1,1/1
Mr. S. L. Bhatia,"Executive
Director","Deputy
Managing
Director",Membership,√,n/a,n/a,√,√,√,√
,,,Attendance,6/6,n/a,n/a,1/1,1/1,1/1,1/1
"Mr. A. Mathur
(Resigned
30/4/2016)","Executive
Director","Finance
Director",Membership,√,n/a,n/a,n/a,n/a,n/a,n/a
,,,Attendance,NIL,n/a,n/a,n/a,n/a,n/a,n/a
Mr. W. Murungi,"Non-
Executive","Chairman
Nomination &",Membership,√,√,√,n/a,n/a,√,n/a
,,"Remuneration
Committee",Attendance,6/6,3/3,3/3,n/a,n/a,1/1,n/a
"Mr. D. M.
Ndonye
(Resigned
25/8/2016)","Non-
Executive","Chairman
Audit & Risk
Committee",Membership,√,√,√,n/a,n/a,n/a,n/a
,,,Attendance,3/6,2/3,2/3,n/a,n/a,n/a,n/a
"Mr. M. Turner
(Resigned
25/8/2016)","Non-
Executive",Director,Membership,√,n/a,√,√,n/a,n/a,n/a
,,,Attendance,1/6,n/a,1/3,1/1,n/a,n/a,n/a
Mr. A. Alli,"Non-
Executive",Director,Membership,√,n/a,n/a,n/a,n/a,n/a,n/a
,,,Attendance,NIL,n/a,n/a,n/a,n/a,n/a,n/a
Mr. L. Mususa,"Non-
Executive","Chairman
Audit & Risk
Committee",Membership,√,√,n/a,n/a,n/a,n/a,n/a
,,,Attendance,4/6,1/3,n/a,n/a,n/a,n/a,n/a
"Mr. K. P. Pieter
Meijer
(Appointed
25/08/2016)","Non-
Executive","Chairman
Mining/Tech
Comm.",Membership,√,n/a,n/a,n/a,√,√,√
,,,Attendance,2/6,n/a,n/a,n/a,1/1,1/1,1/1
"Mr. J. Ngumi
(Appointed
25/08/2016)","Non-
Executive","Chairman ESG
Comm.",Membership,√,n/a,√,n/a,n/a,n/a,√
,,,Attendance,3/6,n/a,1/3,n/a,n/a,n/a,1/1
"Mr. K. M.
Gordhan
(Appointed
25/08/2016)","Non-
Executive",Director,Membership,√,√,√,n/a,√,n/a,n/a
,,,Attendance,NIL,NIL,NIL,n/a,NIL,n/a,n/a
"Mr. S.
Mukherjee
(Appointed
01/11/2016)","Non-
Executive","Alt. to K. M.
Gordhan",Membership,√,,√,n/a,√,n/a,n/a
,,,Attendance,1/6,1/3,1/3,n/a,1/1,n/a,n/a
