Column,UNAUDITED,UNAUDITED,% INCREASE
CONSOLIDATED INCOME STATEMENT,30.06.13,30.06.12,
,Ksh.’000,Ksh.’000,
Turnover,"6,499,126","5,073,987",28%
Profit Before Tax,"1,015,317","790,962",28%
Taxation,"(312,492)","(240,779)",
Profit After Tax,"702,825","550,183",28%
Non Controlling Interests,132,"(2,135)",
Profit Attributable to Shareholders of Parent Company,"702,693","552,318",27%
Annualised Earning Per Share (Ksh.),2.83,2.23,27%
CONSOLIDATED STATEMENT OF FINANCIAL,UNAUDITED,AUDITED,
POSITION AS AT,30.06.2013,31.12.2012,
,Ksh.’000,Ksh.’000,
Share Capital,"495,275","495,275",
Share Premium,"302,027","302,027",
Capital and Other Reserves,"6,920,893","6,216,469",
Equity attributable to equity holders of parent Company,"7,718,195","7,013,771",
Non - Controlling interest,"106,881","106,749",
Total Capital and reserves,"7,825,076","7,120,520",
Non Current Liabilities,"14,144,280","13,329,740",
,"21,969,356","20,450,260",
Assets,,,
Non Current Assets,"20,729,010","19,016,690",
Working Capital:,,,
Current Assets,"7,120,560","7,936,410",
Current Liabilities,"5,880,214","6,502,840",
Net Working Capital,"1,240,346","1,433,570",
,"21,969,356","20,450,260",
"CONSOLIDATED CASH FLOW FOR SIX MONTHS
ENDED",30.06.13,30.06.12,
,Ksh.’000,Ksh.’000,
Cash Generated before working capital changes,"1,573,994","1,149,299",
Working Capital Changes,"432,716","(521,467)",
Cash Generated from operations,"2,006,710","627,832",
Net Interest,"(183,594)","(157,104)",
Tax Paid,"(176,232)",-,
Net Cash from Operating Activities,"1,646,884","470,728",
Net Cash used in Investing Activities,"(2,019,467)","(1,102,235)",
Net Cash from Financing Activities,"253,156","312,859",
Increase/(Decrease) in Cash and Cash Equivalents,"(119,427)","(318,648)",
At start of the Period,"2,591,274","337,133",
Exchange rate changes,"(65,439)","50,194",
At end of the Period,"2,406,408","68,680",
