"2012
KSh’000
176,544
(12,949)","2011
KSh’000
15,129
-","2012
KSh’000
167,949
-"
"163,595","15,129","167,949"
"370,184
10,879","197,285
-","361,508
(14,699)"
"381,063","197,285","346,809"
"544,658","212,414","514,758"
"1,790,296","1,362,912","1,741,152"
"537,089
35
9,604
(12,949)
10,879
ess of
-","408,874
(7,461)
15,903
-
-
(204,902)","522,346
-
7,111
-
(14,699)
-"
"544,658","212,414","514,758"
"(72,052)
163,595
(85,311)","(13,323)
15,129
(73,858)","(105,135)
167,949
(75,681)"
"6,232","(72,052)","(12,867)"
"(12,867)
19,099","(105,135)
33,083","(12,867)
-"
"6,232","(72,052)","(12,867)"
et in the statem,nt of financial p,osition as the G
