31 December 2015,Column,Column,Column,Column
Freehold land,-,"480,220",-,"480,220"
Buildings on leasehold land,-,"13,098,464",-,"13,098,464"
"Heavy commercial vehicles and Quarrying
equipment",-,"275,721",-,"275,721"
Plant and machinery,-,"22,799,431",-,"22,799,431"
,-,"36,653,836",-,"36,653,836"
