Director,Classification,Designation,Column,Board,"Audit &
Risk
Committee","Nomination &
Remuneration
Committee","Strategy &
Investment
Committee"
Mr. R Ashley,Non-Executive,"Chairman of the Board & Investment
and Stategy Committee",Membership,√,√,n/a,√
,,,Attendance,3/3,5/5,n/a,3/3
Mr. P H Paunrana,"Executive
Director",Managing Director,Membership,√,n/a,n/a,√
,,,Attendance,3/3,n/a,n/a,3/3
Mr. S L Bhatia,"Executive
Director",Deputy Managing Director,Membership,√,n/a,n/a,√
,,,Attendance,3/3,n/a,n/a,3/3
Mr. A Mathur,"Executive
Director",Finance Director,Membership,√,n/a,n/a,√
,,,Attendance,3/3,n/a,n/a,3/3
Mr. W Murungi,Non-Executive,"Chairman
HR Nomination and Remuneration
committee",Membership,√,√,√,n/a
,,,Attendance,3/3,5/ 5,2/2,n/a
Mr. D M Ndonye,Non-Executive,Chairman Audit Committee,Membership,√,√,√,n/a
,,,Attendance,3/3,5/5,2/2,n/a
Mr. M Turner,Non-Executive,Director,Membership,√,n/a,√,√
,,,Attendance,3/3,n/a,1/2,3/3
Mr A. Alli,Non- Executive,Director,Membership,√,n/a,n/a,√
,,,Attendance,2/3,n/a,n/a,2/3
Mr L. Mususa,Non- Executive,Director (Appointed 17.07.2014),Membership,√,n/a,n/a,n/a
,,,Attendance,1/3,n/a,n/a,n/a
