ARM or the Company,"ARM Cement PLC a public limited liability company (incorporated in
Kenya under registration number C. 19/97), listed on the NSE"
ARM Energy,"ARM Energy Limited a company incorporated in Kenya under
registration number CPR/2009/6820 with its registered office at L. R.
No. 209/74/7/2, Chiromo Road Westlands P.O. Box 41908 – 00100
Nairobi, Kenya"
ARM ESOP,The Company’s Employee Share Option Plan
ARM Minerals,"ARM Minerals and Chemicals Limited a company incorporated in
Kenya under registration number C. 163805 with its registered office at
L. R. No. 209/74/7/2, Chiromo Road Westlands P.O. Box 41908 –00100
Nairobi, Kenya"
Articles of Association,"the articles of association of the Company as amended from time to
time"
BATAs,"the IM and Fertilisers BATA, the Mining BATA and the Silicates BATA"
Board,the board of directors of the Company for the time being
CAK,the Competition Authority of Kenya or its successor body
Cash,"any (non-operating) cash or cash-like items as per the statement of
financial position as at the date of completion of the SPA."
Circular,this Shareholders Circular.
CMA,the Capital Markets Authority of Kenya.
Companies’ Act,the Companies Act (Act No.17 of 2015)
Companies' Regulations,"the Companies (General) Regulations, 2015, (Legal Notice No.239);"
Director,a director of the Company
Debt,"any debt or debt – like items (including interest bearing debt,
intercompany debt, etc.) as per statement of financial position at the
SPA Completion Date but excludes moneys due under the IM and
Fertilisers BATA from Mavuno to ARM for inventory transferred therein"
EGM,"the extraordinary general meeting of the Company to be held on [ ]
2017."
FertilisersBusiness,"ARM’s businessof importing, blending and trading in fertilisers."
IMand FertilisersBATA,"the business and assets transfer agreement for the IM Business and
Fertilisers Business entered into between ARM and Mavuno"
IM Business,ARM’s business of manufacturing and trading in industrial minerals
KES or K.Sh,"Kenya Shilling, the lawful currency of the Republic of Kenya"
Mavuno,"Mavuno Fertilizers Limited a company incorporated in Kenya under
registration number C. 109783 with its registered office at L. R. No.
209/74/7/2, Chiromo Road Westlands P.O. Box 41908 – 00100 Nairobi,
Kenya"
