"2010
Kshs ‘000",Column,"2010
Kshs ‘000"
"495,275",,"495,275"
"302,027",,"302,027"
"1,465,354",,"1,465,354"
"2,499,082",,"2,540,984"
"(99,570)",,-
"4,662,168","4,128,930","4,803,640"
"8,719,839","5,220,969
(812,527)","6,392,575"
"(1,198,925)",,"(71,453)"
"7,520,914","4,408,442","6,321,122"
"12,183,082","8,537,372","11,124,762"
62%,52%,57%
