At 1 January 2015,"495,275","302,027","617,627","7,796,379","9,211,308"
"Total comprehensive income for the
year",-,-,"3,108,444","30,812","3,139,256"
Transfer of excess depreciation,-,-,"(351,209)","351,209",-
Deferred tax on excess depreciation,-,-,"105,363","(105,363)",-
"Dividends declared – year 2014 (note
12(b))",-,-,-,"(297,165)","(297,165)"
At 31 December 2015,"495,275","302,027","3,480,225","7,775,872","12,053,399"
