2015,Column,2015,Column,2015
Sh’000,,Sh’000,,Sh’000
"10,931,755",,"3,804,181",,"14,735,936"
"(14,557,499)",,"(3,717,593)",,"(18,275,092)"
,"1,961,528",,"56,605",
"(3,625,744)",,"86,588",,"(3,539,156)"
,"34,243,677",,"2,726,374",
"44,866,578",,"7,070,086",,"51,936,664"
,"27,205,378",,"343,866",
"31,892,817",,"3,198,079",,"35,090,896"
,"551,137",,"89,684",
"720,328",,"157,547",,"877,875"
,"6,965,510",,"32,194",
"2,777,593",,"199,002",,"2,976,595"
