Director,Classification,Designation,Column,Board,"Audit & Risk
Committee","HR,
Nomination &
Remuneration
Committee","Strategy &
Investment
Committee"
Mr. R M Ashley,Non-Executive,"Chairman of
the Board &
Investment
and Strategy
Committee",Membership,√,√,n/a,√
,,,Attendance,4/4,4/4,n/a,4/4
Mr. P H Paunrana,"Executive
Director","Managing
Director",Membership,√,n/a,n/a,√
,,,Attendance,4/4,n/a,n/a,4/4
Mr. S L Bhatia,"Executive
Director","Deputy
Managing
Director",Membership,√,n/a,n/a,√
,,,Attendance,4/4,n/a,n/a,4/4
Mr. A Mathur,"Executive
Director","Finance
Director",Membership,√,n/a,n/a,√
,,,Attendance,4/4,n/a,n/a,4/4
Mr. W Murungi,Non-Executive,"Chairman
HR Nomination
and
Remuneration
committee",Membership,√,√,√,n/a
,,,Attendance,4/4,4/4,2/2,n/a
Mr. D M Ndonye,Non-Executive,"Chairman
Audit
Committee",Membership,√,√,√,n/a
,,,Attendance,4/4,4/4,2/2,n/a
Mr. M Turner,Non-Executive,Director,Membership,√,n/a,√,√
,,,Attendance,4/4,n/a,1/2,4/4
Mr A. Alli,Non- Executive,Director,Membership,√,n/a,n/a,√
,,,Attendance,3/4,n/a,n/a,3/4
Mr. L. Mususa,Non- Executive,Director,Membership,√,n/a,n/a,n/a
,,,Attendance,4/4,n/a,n/a,n/a
