Mining BATA,"the business and transfer agreement for the Mining Business entered
into between ARM,ARM Mineralsand Mavuno."
Mining Business,"ARM’s mining business, the mining licences, the special licences, the
mining operations, assets and employees involved in the mining
business"
Non-CementBusinesses,"means the IM Business, the Fertilisers Business, the Mining Business and
the Silicates Business"
Omya,"Omya (Schweiz) AG, a company incorporated in Switzerland with
company number CHE- 110.344.938 whose registered address is at
Baslerstrasse 42, 4665, Oftringen, Switzerland"
PHL Mauritius,"Pinner Heights Ltd (Company Number 116937) a GBC2 company
incorporated under the laws of the Republic of Mauritius"
PHLKenya,"Pinner Heights Kenya Limited (Company Number PVT-3QUDADK) a
private company limited by shares incorporated under the laws of
the Republic of Kenya"
Pre–Sale Restructuring,the transaction structure described in paragraph 5.1of Part 4.3
Purchasers,Omya and PHLKenyacollectively
PoS Regulations,"the Capital Markets (Securities) (Public Offers, Listing and Disclosures)
Regulations, 2002"
Sale Shares,"means 132,929 redeemable preference shares with a par value of KES
100/- per share and share premium of KES 9,900/- per share and 100
ordinary shares each at a par value of KES 100/-per share, comprising
100% of the issued share capital of Mavuno FertilisersLimited"
Shareholder,a shareholder in the Company
Silicate Back to Back,"the share purchase agreement entered into between Omya and PHL
Kenya in respect of the sale of 100% of the issued share capital in
ARM EnergyLimited."
Silicates BATA,"the businessand transfer agreement for the Silicates Business entered
into between ARM ,ARM Energyand Mavuno."
Silicates Business,"ARM’s silicates business, employees and assets of the sodium silicate
business"
SPA,"means the share purchase agreement entered into between the
Purchasers and ARM for the sale and transfer by ARM of the Sale
Shares to the Purchasers"
USDor $,"United States Dollar, the lawful currency of the United States of
America"
