2015,Column,2015
Sh’000,,Sh’000
"2,047,206",,"1,233,522"
"372,566",,"309,185"
"117,928",,"66,617"
"1,318,364",,"925,287"
"98,272",,"1,035"
"19,618",,-
"(106,605)",,"(106,605)"
"3,867,349","4,036,141","2,429,041"
