"31 December, 2015",Column,Column,Column,Column,Column,Column
Sales and other income,"11,112,486","4,044,829","2,701","168,209","(394,948)","14,933,277"
"Cost of sales and other
expenditure","(11,026,120)","(7,607,500)",6,"(233,767)","394,948","(18,472,433)"
Profit / (Loss) before taxation,"86,366","(3,562,671)","2,707","(65,558)",-,"(3,539,156)"
Assets,"38,684,703","32,000,446","238,851","552,080","(19,539,416)","51,936,664"
Liabilities,"26,625,949","26,775,215","324,884","444,413","(19,079,564)","35,090,897"
"Depreciation and
amortisation","451,738","420,005",-,"6,132",-,"877,875"
Capital expenditure,"572,211","2,375,577","28,378",429,-,"2,976,595"
