"2010
Kshs ‘000",Column,"2010
Kshs ‘000",Column,"2010
Kshs ‘000"
"3,690,609",,"2,390,433",,"6,081,042"
"2,982,476",,"1,985,604",,"4,968,080"
"708,133","582,742","404,829","365,972","1,112,962"
"11,923,320","7,675,747","4,641,579","4,485,885","16,564,889"
"11,787,829","7,892,998","133,468","119,163","11,921,297"
"223,721","133,121","105,815","92,620","329,536"
"3,705,454","2,192,224","188,943","269,919","3,894,397"
