At 31 December 2015,Column,Column,Column,Column,Column
Liabilities,,,,,
Borrowings,"1,548,375","3,096,729","10,787,226","8,948,927","24,381,257"
Trade payables,"742,906","2,586,506","849,552",-,"4,178,964"
Due to related parties,-,-,-,"87,414","87,414"
,"2,291,281","5,683,235","11,636,778","9,036,341","28,647,635"
