"2010
Kshs ‘000",Column,"2010
Kshs ‘000"
"22,538",,-
"(2,239)",,"(2,239)"
"20,299","30,271
253,267
19,402","(2,239)"
"300,652",,"300,706"
-,,-
"300,652","272,669","300,706"
"320,951","302,940","298,467"
,"948,714",
"1,112,962",,"1,059,660"
"333,889","284,614
(143)
5,180
(6,113)
19,402","317,898"
"(23,730)",,"(23,730)"
"13,031",,"6,538"
"(2,239)",,"(2,239)"
-,,-
"320,951","302,940","298,467"
,"4,727
36,384
(6,113)
(21,768)
1",
"13,231",,"13,231"
"22,538",,-
"(2,239)",,"(2,239)"
"(46,853)",,"(52,167)"
-,,-
"(13,323)","13,231","(41,175)"
