CONSOLIDATED INCOME STATEMENT,30.09.12,30.09.11,Column
,KES'000,KES'000,
Turnover,"7,743,789","6,008,965",29%
EBITDA,"1,863,394","1,579,033",18%
Profit Before Exchange Loss,"1,155,355","977,881",18%
Unrealized Exchange Loss (Gain),"(42,799)","681,017",
Profit Before Tax,"1,198,154","296,864",304%
Taxation,"(368,880)","(103,917)",
Non Controlling Interests,"(2,780)",,
Profit Attributable to Shareholders,"826,494","192,947",328%
,,,AUDITED
CONSOLIDATED BALANCE SHEET AS AT,,30.09.12,31.12.11
,,KES'000,KES'000
Capital and Reserves,,,
Share Capital,,"495,275","495,275"
Share Premium,,"302,027","302,027"
Capital and Other Reserves,,"5,754,316","5,201,355"
Non Conttrolling Interests,,"106,649","103,869"
Total Equity,,"6,658,267","6,102,526"
Non Current Liabilities,,"14,635,616","10,705,162"
,,"21,293,883","16,807,688"
Assets,,,
Non Current Assets,,"18,090,686","16,792,719"
Working Capital:,,,
Current Assets,,"6,501,388","3,723,221"
Current Liabilities,,"3,298,191","3,708,252"
Net Working Capital,,"3,203,197","14,969"
,,"21,293,883","16,807,688"
CONSOLIDATED CASH FLOW FOR NINE MONTHS ENDED,,30.09.12,30.09.11
,,KES'000,KES'000
Cash Generated before working capital changes,,"1,863,394","1,579,033"
Working Capital Changes,,"(357,108)","(469,210)"
Cash Generated from operations,,"1,506,286","1,109,823"
Net Interest,,"(374,364)","(239,391)"
Tax Paid,,"(75,791)","(63,443)"
Net Cash from Operating Activities,,"1,056,131","806,989"
Net Cash used in Investing Activities,,"(1,631,641)","(2,704,199)"
Net Cash from Financing Activities,,"3,523,617","1,483,694"
Dividends Paid,,"(198,110)","(173,346)"
Increase/(Decrease) in Cash and Cash Equivalents,,"2,749,997","(586,862)"
At start of the Period,,"337,133","1,198,925"
At end of the Period,,"3,087,130","612,061"
