Column,Amounts in Kes ‘000’,Column,March,March,March,March,CAGR
,,,2013,2014,2015,2016,2013-2015
,Revenue,"45,255 71,972 74,140 85,108 31.91%",,,,,
,Cost of Sales,"20,433 32,376 31,285 31,440 26.56%",,,,,
,Gross Profit,"24,822 39,596 42,854 53,667 36.32%
22,737 26,978 27,650 36,152",,,,,
Administrative and operating expenses,,,,,,,
,EBIT,"2,085 12,618 15,204 17,515",,,,,
Finance cost,,"508 1,516 11,286 11,196 1,059.95%",,,,,
,Profit before tax,"1,577 11,102 3,919 6,318 74.24%",,,,,
Income tax expense,,"473 3,330 1,176 1,895 74.24%",,,,,
,Profit after tax,"1,104 7,771 2,742 4,423 74.24%",,,,,
